"(4, 2020)","Cape May Court House, NJ","My wife is on a zoom cocktail party &amp; I’ve never hoped more for a blackout, WiFi malfunction, or home invasion."
"(4, 2020)","Chicago, Illinois, USA","RT @lottiespub: The draft is still happening and so should your watch party! Grab one of Lottie’s party packages for $40, and add some beer…"
"(4, 2020)",Maryland,A little pre-game before the premiere  party zoom starts!  Thank you Rock Salt curbside cocktail pick up! 🍹🎉 https://t.co/iPbAg2cRha
"(4, 2020)",Toronto,"RT @retfalvi: Ordered @DescendantPizza ✅
Local craft beer @RadicalRoadBrew ✅
Donated to @DailyBreadTO ✅
@PAXvapor fully charged up ✅

Check…"
"(4, 2020)","Toronto, Ontario","Ordered @DescendantPizza ✅
Local craft beer @RadicalRoadBrew ✅
Donated to @DailyBreadTO ✅
@PAXvapor fully charged u… https://t.co/vxUoSLa4iu"
"(4, 2020)","Batavia, IL",Doing a small zoom cocktail party with @KathyHartRadio being your stories and some @RedneckRiviera and join in tomo… https://t.co/NLwP4b9PH5
"(4, 2020)","Clifton Park, NY","RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)","Camanche, IA","RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",whats is called ?,Can’t think of anything worse than having a zoom party whilst pouring myself a wee drink. May just pull my toenails out instead
"(4, 2020)",South Africa - Empangeni KZN,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",Renton WA,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",Lost in Fandomland,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",los angeles,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",Music,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",On the road,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",,"#TBT some of my faves...Dave, I do have to say we really are so pretty together lol !!!  Miss you theclaw82 and all… https://t.co/7UDP7SVpu3"
"(4, 2020)","Melbourne, Victoria","RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)","Greensboro, NC","RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)","The Bunker, or GR MI","RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",#FuckTrump but in Angelino,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",vote blue this november,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)","New Jersey, USA (she/her)","RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",Hell / 21 / BI 🌈 ,"RT @OfficialBrianaB: Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat, or…"
"(4, 2020)",Vancouver/LA,"Friends! My girl @_WaywardUnicorn is hosting The Happy Hour after party tonight on Zoom. 
Go. Laugh. Drink and eat,… https://t.co/tuTb1egAjE"
"(4, 2020)",,RT @DrLisaBThompson: Am I the only one stressed by all the online events??? Every second it appears I'm missing out on somebody's online re…
"(4, 2020)",,"@roywoodjr I just have something to drink... Now, On Sunday, my family is having a zoom Party.. we are HUGE sports… https://t.co/4SjFOr0Bmd"
"(4, 2020)",,"YOU ARE INVITED TO 3 LADIES ON A VINE'S @3ladiesonavine VIRTUAL ZOOM WINE PARTY.

LIVE drink demos...Hot Topics...… https://t.co/o0nHinhNdu"
"(4, 2020)","Minnesota, USA",@sisuile Host a Zoom cocktail party?
"(4, 2020)",1925 W. Cortland Ave.,"The draft is still happening and so should your watch party! Grab one of Lottie’s party packages for $40, and add s… https://t.co/BvlkpT25hU"
"(4, 2020)",,What shall I drink at my late Zoom party tonight?
"(4, 2020)",Edmonton,@Ginger_eagle @Damienaustin87 @RomZ_85 Cable.... Also I'm thinking of holding a zoom party live draft...I need an e… https://t.co/nraPTJa2yF
"(4, 2020)",,"RT @erinlouise_xoxo: who wants to come to our zoom house party to get drunk? Date:tbc (alcohol isn’t optional, as emily said you either get…"
"(4, 2020)","Farnborough, South East","RT @erinlouise_xoxo: who wants to come to our zoom house party to get drunk? Date:tbc (alcohol isn’t optional, as emily said you either get…"
"(4, 2020)",most likely a stage,"who wants to come to our zoom house party to get drunk? Date:tbc (alcohol isn’t optional, as emily said you either… https://t.co/woHnYykWae"
"(4, 2020)",,"https://t.co/pNIC1X2w7g via @YouTube
Just got off from work.. A little bit of dance party alone in my living room a… https://t.co/V8RUlpsL6o"
"(4, 2020)","Kansas City, MO","These days, the words “cocktail party” may mean cocktails at home or hosting a virtual happy hour over Zoom. 

But—… https://t.co/dspZw7oQAM"
"(4, 2020)",Ohio,All you mf'ers that say you only drink socially are really biting the bullet hard during quarantine aren't you? Wha… https://t.co/Wp4N4Ky6Np
"(4, 2020)","yonkers, ny","Tonight it's going ddooowwwnnn!! The Quarantine Interactive Trivia Party returns, log in starts at 7:30 Eastern, AB… https://t.co/eo7Oxm6VV0"
"(4, 2020)","Austin, TX",RT @DrLisaBThompson: Am I the only one stressed by all the online events??? Every second it appears I'm missing out on somebody's online re…
"(4, 2020)","Scotland, United Kingdom",RT @Glasgow_Times: She was denied the prize as she was not available to be on a Zoom video call and 'virtual cocktail party' with other 'Oh…
"(4, 2020)",Glasgow,She was denied the prize as she was not available to be on a Zoom video call and 'virtual cocktail party' with othe… https://t.co/ZRRZ2PUMir
"(4, 2020)",On stage & on your bookshelf.,Am I the only one stressed by all the online events??? Every second it appears I'm missing out on somebody's online… https://t.co/Hp66O6bJTj
"(4, 2020)",Montpellier,"How to Run a Zoom Cocktail Party (and have better classes, conferences, and meetings, too) https://t.co/g2FAOi4Cju"
"(4, 2020)","Halifax, Nova Scotia",RT @TheUselessCoin: Weird disadvantages of zoom party: drink entire bottle of wine without offering anyone any; wake up hungover in midst o…
"(4, 2020)","Georgia, USA 🤟🏾","Tryna turn up tonight? 

We bringing the club to you 🔥🔥🔥 

Download Zoom to your phones. DM me or @CjThatsMyDj for… https://t.co/LZy30FiT4l"
"(4, 2020)",ASEAN,@JustinTWJ order beer from Farmer's Bar or TAPS and we can have a Zoom Party.
"(4, 2020)",,RT @DavidSyrek: Your virtual NFL draft party guide https://t.co/yePu4VQ9xf @OffcolorBrewing @chicagotribune  @ChiTribLife @Fanatics @NFL @N…
"(4, 2020)","Orillia, Ontario","Friday night the good folks at @Original16Proud and @GWBrewingCo are going to be hosting a ""live viewing"" zoom part… https://t.co/MtZsmD3KPS"
"(4, 2020)",Halifax,Weird disadvantages of zoom party: drink entire bottle of wine without offering anyone any; wake up hungover in mid… https://t.co/FOp8tntAnk
